DateTime,Open,High,Low,Close,Volume
2011-03-24 09:30:00,115.675,115.675,115.675,115.675,1
2011-03-24 09:33:00,115.675,115.675,115.675,115.675,2
2011-03-24 09:34:00,115.675,115.675,115.625,115.625,5
2011-03-24 09:39:00,115.700,115.700,115.700,115.700,2
2011-03-24 09:40:00,115.750,115.750,115.750,115.750,10
2011-03-24 09:43:00,115.750,115.775,115.750,115.775,5
2011-03-24 09:44:00,115.700,115.700,115.700,115.700,1
2011-03-24 09:45:00,115.700,115.700,115.700,115.700,2
2011-03-24 09:46:00,115.750,115.775,115.750,115.775,20
2011-03-24 09:54:00,115.725,115.775,115.675,115.675,7
2011-03-24 09:55:00,115.800,115.800,115.700,115.700,9
2011-03-24 09:57:00,115.750,115.750,115.750,115.750,1
2011-03-24 09:58:00,115.750,115.750,115.750,115.750,34
2011-03-24 09:59:00,115.750,115.750,115.750,115.750,24
2011-03-24 10:00:00,115.825,115.850,115.825,115.850,20
2011-03-24 10:01:00,115.850,115.850,115.825,115.825,7
2011-03-24 10:02:00,115.900,115.900,115.900,115.900,3
2011-03-24 10:03:00,115.900,115.900,115.900,115.900,12
2011-03-24 10:05:00,115.900,115.900,115.850,115.900,9
2011-03-24 10:06:00,115.900,115.950,115.900,115.925,30
2011-03-24 10:07:00,115.925,116.000,115.925,116.000,33
2011-03-24 10:08:00,116.000,116.000,115.950,115.950,9
2011-03-24 10:09:00,116.000,116.025,115.975,116.025,29
2011-03-24 10:10:00,116.050,116.050,116.050,116.050,18
2011-03-24 10:11:00,116.050,116.125,116.050,116.075,37
2011-03-24 10:12:00,116.000,116.050,115.950,115.975,34
2011-03-24 10:13:00,116.025,116.050,116.025,116.050,5
2011-03-24 10:14:00,116.100,116.100,116.100,116.100,20
2011-03-24 10:15:00,116.125,116.125,116.125,116.125,2
2011-03-24 10:17:00,116.075,116.075,116.025,116.025,2
2011-03-24 10:18:00,116.075,116.075,116.075,116.075,1
2011-03-24 10:19:00,116.050,116.050,116.050,116.050,1
2011-03-24 10:20:00,116.025,116.050,116.025,116.025,5
2011-03-24 10:21:00,116.025,116.025,115.975,115.975,12
2011-03-24 10:22:00,116.025,116.075,116.025,116.025,21
2011-03-24 10:23:00,116.025,116.025,116.000,116.000,5
2011-03-24 10:24:00,116.000,116.075,116.000,116.075,7
2011-03-24 10:25:00,116.100,116.100,116.075,116.075,8
2011-03-24 10:26:00,116.100,116.100,116.050,116.050,15
2011-03-24 10:27:00,116.050,116.050,116.000,116.000,8
2011-03-24 10:28:00,115.950,115.975,115.925,115.925,17
2011-03-24 10:29:00,115.975,115.975,115.975,115.975,9
2011-03-24 10:30:00,116.025,116.025,116.000,116.000,27
2011-03-24 10:31:00,116.000,116.000,116.000,116.000,3
2011-03-24 10:33:00,116.000,116.000,115.950,115.950,2
2011-03-24 10:34:00,115.950,115.950,115.950,115.950,1
2011-03-24 10:35:00,115.900,115.900,115.850,115.850,7
2011-03-24 10:36:00,115.875,115.875,115.850,115.875,6
2011-03-24 10:37:00,115.850,115.875,115.850,115.850,4
2011-03-24 10:38:00,115.775,115.775,115.700,115.725,34
2011-03-24 10:39:00,115.775,115.775,115.700,115.700,12
2011-03-24 10:40:00,115.700,115.700,115.625,115.700,36
2011-03-24 10:41:00,115.675,115.675,115.625,115.650,12
2011-03-24 10:42:00,115.650,115.675,115.625,115.675,16
2011-03-24 10:43:00,115.600,115.625,115.600,115.625,18
2011-03-24 10:44:00,115.625,115.625,115.600,115.625,41
2011-03-24 10:45:00,115.625,115.625,115.600,115.600,44
2011-03-24 10:46:00,115.600,115.600,115.550,115.550,63
2011-03-24 10:47:00,115.550,115.550,115.550,115.550,29
2011-03-24 10:48:00,115.550,115.550,115.525,115.525,10
2011-03-24 10:49:00,115.525,115.550,115.500,115.550,24
2011-03-24 10:50:00,115.550,115.650,115.550,115.625,35
2011-03-24 10:51:00,115.625,115.675,115.625,115.675,3
2011-03-24 10:52:00,115.575,115.575,115.575,115.575,2
2011-03-24 10:54:00,115.550,115.550,115.550,115.550,2
2011-03-24 10:55:00,115.550,115.550,115.500,115.550,13
2011-03-24 10:56:00,115.700,115.875,115.700,115.875,16
2011-03-24 10:57:00,115.875,115.900,115.875,115.900,30
2011-03-24 10:58:00,115.775,115.800,115.725,115.750,28
2011-03-24 10:59:00,115.825,115.825,115.825,115.825,2
2011-03-24 11:01:00,115.875,116.000,115.875,116.000,19
2011-03-24 11:02:00,116.000,116.050,116.000,116.050,11
2011-03-24 11:03:00,115.950,115.950,115.950,115.950,2
2011-03-24 11:04:00,115.950,115.950,115.950,115.950,3
2011-03-24 11:05:00,115.825,115.850,115.800,115.850,12
2011-03-24 11:06:00,115.900,115.900,115.825,115.875,10
2011-03-24 11:07:00,115.875,115.875,115.875,115.875,4
2011-03-24 11:08:00,115.850,115.850,115.850,115.850,3
2011-03-24 11:09:00,115.875,115.875,115.875,115.875,10
2011-03-24 11:10:00,115.850,115.850,115.850,115.850,2
2011-03-24 11:11:00,115.825,115.850,115.825,115.825,5
2011-03-24 11:12:00,115.875,115.875,115.875,115.875,3
2011-03-24 11:14:00,115.875,115.875,115.825,115.875,5
2011-03-24 11:15:00,115.875,115.875,115.800,115.800,4
2011-03-24 11:16:00,115.800,115.800,115.800,115.800,1
2011-03-24 11:17:00,115.800,115.800,115.775,115.775,2
2011-03-24 11:18:00,115.675,115.750,115.675,115.750,2
2011-03-24 11:19:00,115.700,115.700,115.575,115.575,3
2011-03-24 11:20:00,115.600,115.600,115.425,115.475,9
2011-03-24 11:21:00,115.425,115.600,115.425,115.600,19
2011-03-24 11:22:00,115.575,115.575,115.575,115.575,1
2011-03-24 11:23:00,115.450,115.450,115.400,115.400,21
2011-03-24 11:24:00,115.400,115.400,115.400,115.400,6
2011-03-24 11:26:00,115.425,115.450,115.425,115.450,11
2011-03-24 11:27:00,115.450,115.500,115.450,115.500,18
2011-03-24 11:28:00,115.575,115.575,115.575,115.575,5
2011-03-24 11:29:00,115.550,115.600,115.550,115.600,6
2011-03-24 11:30:00,115.600,115.625,115.600,115.600,6
2011-03-24 11:31:00,115.600,115.600,115.600,115.600,1
2011-03-24 11:34:00,115.700,115.775,115.700,115.725,4
2011-03-24 11:35:00,115.625,115.650,115.625,115.650,2
2011-03-24 11:37:00,115.750,115.775,115.700,115.700,7
2011-03-24 11:39:00,115.775,115.800,115.775,115.775,4
